567	27	1
567	33	1
591	22	1
591	25	1
599	9	1
615	16	1
8	21	1
8	30	1
32	22	1
71	45	1
1014	11	1
101	21	1
761	15	1
774	12	1
896	28	1
1135	24	1
963	23	1
16	6	1
584	51	2
560	52	2
568	35	2
585	26	2
585	43	2
585	50	2
593	21	2
617	42	2
617	61	2
9	28	2
9	60	2
9	41	2
33	41	2
33	52	2
738	20	2
788	33	2
1122	39	2
642	38	2
951	5	3
966	24	3
994	11	3
1045	26	3
1141	53	3
1149	60	3
1153	27	3
1182	48	3
689	92	3
732	79	3
736	42	3
739	47	3
745	64	3
747	41	3
1151	62	3
1153	27	3
1182	48	3
362	55	3
976	2	4
1003	22	4
1087	56	4
1088	0	4
1102	52	4
1116	1	4
1126	43	4
1134	12	4
1162	57	4
1184	54	4
583	20	4
591	26	4
390	3	4
615	0	4
623	32	4
1087	56	4
360	16	4
287	1	4
674	80	5
717	88	5
741	49	5
7	21	5
30	41	5
53	83	5
54	15	5
58	22	5
62	16	5
416	62	5
424	55	5
617	19	5
633	42	5
975	13	5
1057	31	5
1058	25	5
1284	74	5
1322	49	5
16	16	6
25	28	6
58	21	6
82	56	6
761	31	6
774	36	6
793	41	6
816	26	6
850	19	6
933	14	6
1048	25	6
1200	47	6
1205	28	6
1250	41	6
1257	42	6
1264	40	6
1349	11	6
1358	79	6
690	4	7
716	66	7
734	2	7
54	1	7
62	15	7
85	46	7
213	41	7
332	79	7
364	10	7
412	9	7
421	17	7
476	67	7
492	49	7
589	1	7
597	19	7
629	27	7
637	10	7
960	76	7
655	8	8
670	35	8
713	39	8
754	5	8
758	55	8
19	8	8
132	3	8
314	17	8
418	37	8
578	4	8
772	3	8
875	13	8
1185	5	8
59	42	8
157	15	8
410	18	8
800	5	8
926	4	8
669	13	9
670	38	9
673	14	9
700	45	9
706	48	9
707	22	9
708	52	9
712	37	9
713	16	9
719	25	9
731	30	9
747	55	9
748	20	9
7	58	9
8	19	9
9	55	9
47	48	9
53	89	9
655	4	10
664	38	10
670	8	10
671	7	10
707	18	10
747	63	10
3	22	10
68	20	10
560	37	10
560	44	10
560	59	10
561	22	10
561	35	10
617	27	10
634	34	10
642	44	10
1194	37	10
1224	32	10
1293	23	11
1293	80	11
623	0	11
623	9	11
623	50	11
623	26	11
623	41	11
32	27	11
675	4	11
675	25	11
675	32	11
121	40	11
121	42	11
121	48	11
1377	5	11
1386	59	11
1384	40	11
1311	51	11
